ID,Name,Type,Lv,Quality,Wuxing,EquipmentSlot,WeaponType,Stack,career,CanDestroy,product_count,effect,effect_value,Duration,cooldown,contain_items,contain_num,Desc
1003005,玉龙霜,1,,4,,,,32,,9900002,1-1,,,,,,,
1003006,轮回草,1,,4,,,,32,,9900002,1-1,,,,,,,
1003007,聚魂灵液,1,,4,,,,32,,9900002,1-1,,,,,,,
1003008,阴灵水,1,,4,,,,32,,9900002,1-1,,,,,,,
1003009,玄灵液,1,,4,,,,32,,9900002,1-1,,,,,,,
1104005,三花玉露,2,,4,,,,32,,9900002,1-1,,,,,,,
1104006,千叶露,2,,4,,,,32,,9900002,1-1,,,,,,,
1004000,紫魂花,1,,4,,,,32,,9900002,1-1,,,,,,,
1004001,天火液,1,,4,,,,32,,9900002,1-1,,,,,,,
1004002,鬼哭藤,1,,4,,,,32,,9900002,1-1,,,,,,,
1004003,玛瑙角,1,,4,,,,32,,9900002,1-1,,,,,,,
1004004,九窍蕴仙散,1,,4,,,,32,,9900002,1-1,,,,,,,
1004005,妖罗果,1,,4,,,,32,,9900002,1-1,,,,,,,
1004006,星辰砂,1,,4,,,,32,,9900002,1-1,,,,,,,
1004007,九幽冥泉水,1,,4,,,,32,,9900002,1-1,,,,,,,
1004008,玄黄母气,1,,4,,,,32,,9900002,1-1,,,,,,,
1004009,悟心珠,1,,4,,,,32,,9900002,1-1,,,,,,,
1004010,混元石,1,,4,,,,32,,9900002,1-1,,,,,,,
1104007,千草还魂丹,2,,4,,,,32,,9900002,1-1,,,,,,,
1001007,黄纸,1,,4,,,,32,,9900002,1-1,,,,,,,
1001008,朱砂,1,,4,,,,32,,9900002,1-1,,,,,,,
1200000,灵田,3,,4,,,,,,9900002,1-1,,,,,,,
1201000,药田,3,,4,,,,,,9900002,1-1,,,,,,,
1201001,仙食坊,3,,4,,,,,,9900002,1-1,,,,,,,
1201002,极乐洞府,3,,4,,,,,,9900002,1-1,,,,,,,
1200001,纳戒,3,,4,,,,32,,9900002,1-1,,,,,,,
1201003,须弥手镯,3,,4,,,,32,,9900002,1-1,,,,,,,
1202000,炼丹炉,3,,4,,,,,,9900002,1-1,,,,,,,
1202001,锻造坊,3,,4,,,,,,9900002,1-1,,,,,,,
1203000,灵兽场,3,,4,,,,,,9900002,1-1,,,,,,,
1202002,晶石场,3,,4,,,,,,9900002,1-1,,,,,,,
1204000,登仙台,3,,4,,,,,,9900002,1-1,,,,,,,
1203001,梧桐院,3,,4,,,,,,9900002,1-1,,,,,,,
1202003,灵脉,3,,4,,,,,,9900002,1-1,,,,,,,
1202004,灵匣,3,,4,,,,,,9900002,1-1,,,,,,,
1203002,长生殿,3,,4,,,,,,9900002,1-1,,,,,,,
1203003,武魂殿,3,,4,,,,,,9900002,1-1,,,,,,,
9900001,银两,1,,4,,,,32,,9900002,1-1,,,,,,,
9900002,灵石,1,,4,,,,32,,9900002,1-1,,,,,,,
9900003,修为,1,,4,,,,,,9900002,1-1,,,,,,,
1112000,凝气丹,1,,2,,,,32,,9900002,1-1,,,,,,,
1113000,筑基丹,1,1,3,,,,32,,9900002,1-1,,,,,,,
1114000,化晶丹,1,2,4,,,,32,,9900002,1-1,,,,,,,
1114001,金元丹,1,3,4,,,,32,,9900002,1-1,,,,,,,
1114002,化灵丹,1,4,4,,,,32,,9900002,1-1,,,,,,,
1114003,结婴丹,1,5,4,,,,32,,9900002,1-1,,,,,,,
1114004,结神丹,1,6,4,,,,32,,9900002,1-1,,,,,,,
1114005,悟道丹,1,7,4,,,,32,,9900002,1-1,,,,,,,
1114006,羽化丹,1,8,4,,,,32,,9900002,1-1,,,,,,,
1114007,星龙丹,1,9,4,,,,32,,9900002,1-1,,,,,,,
1115000,太乙丹,1,10,5,,,,32,,9900002,1-1,,,,,,,
1115001,九阳圣转丹,1,1,5,,,,32,,9900002,1-1,,,,,,,
1115002,保济丹,1,4,5,,,,32,,9900002,1-1,,,,,,,
1115003,正气丹,1,4,5,,,,32,,9900002,1-1,,,,,,,
1115004,龙力丹,1,4,5,,,,32,,9900002,1-1,,,,,,,
1115005,纯阳赤血丹,1,4,5,,,,32,,9900002,1-1,,,,,,,
1043000,还魂,2,,3,,,,32,,9900002,1-1,,,,,,,
1044000,破界符,2,,4,,,,32,,9900002,1-1,,,,,,,
1044001,驯兽符,2,,4,,,,32,,9900002,1-1,,,,,,,
1044002,御雷符,2,,4,,,,32,,9900002,1-1,,,,,,,
1014000,寒晶刃,0,,4,,,,32,,9900002,1-1,,,,,,,
1014001,银辉剑,0,,4,,,,32,,9900002,1-1,,,,,,,
1014002,生花笔,0,,4,,,,32,,9900002,1-1,,,,,,,
1014003,朱雀环,0,,4,,,,32,,9900002,1-1,,,,,,,
1014004,青凝镜,0,,4,,,,32,,9900002,1-1,,,,,,,
1014005,飞虹剑,0,,4,,,,32,,9900002,1-1,,,,,,,
1014006,盘龙刀,0,,4,,,,32,,9900002,1-1,,,,,,,
1014007,磐龙破魔枪,0,,4,,,,32,,9900002,1-1,,,,,,,
1014008,轩辕剑,0,,4,,,,32,,9900002,1-1,,,,,,,
1210000,凡人,4,,0,,,,32,,9900002,1-1,,,,,,,
1210001,婴儿,4,,1,,,,32,,9900002,1-1,,,,,,,
1211000,慧根子,4,,2,,,,32,,9900002,1-1,,,,,,,
1211001,悟灵子,4,,4,,,,32,,9900002,1-1,,,,,,,
1211002,天之子,4,,5,,,,32,,9900002,1-1,,,,,,,
1211003,练气期,4,,3,,,,32,,9900002,1-1,,,,,,,
1211004,筑基期,4,,3,,,,32,,9900002,1-1,,,,,,,
1211005,结晶期,4,,3,,,,32,,9900002,1-1,,,,,,,
1211006,金丹期,4,,4,,,,32,,9900002,1-1,,,,,,,
1211007,具灵期,4,,4,,,,32,,9900002,1-1,,,,,,,
1211008,元婴期,4,,4,,,,32,,9900002,1-1,,,,,,,
1211009,化神期,4,,5,,,,32,,9900002,1-1,,,,,,,
1211010,悟道期,4,,5,,,,32,,9900002,1-1,,,,,,,
1211011,羽化期,4,,5,,,,32,,9900002,1-1,,,,,,,
1211012,登仙期,4,,5,,,,32,,9900002,1-1,,,,,,,
1211013,大罗金仙,4,,5,,,,32,,9900002,1-1,,,,,,,
1230000,配方-凡人,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230001,配方-婴儿,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230002,配方-慧根子,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230003,配方-悟灵子,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230004,配方-天之子,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230005,配方-练气期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230006,配方-筑基期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230007,配方-结晶期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230008,配方-金丹期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230009,配方-具灵期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230010,配方-元婴期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230011,配方-化神期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230012,配方-悟道期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230013,配方-羽化期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230014,配方-登仙期,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230015,配方-大罗金仙,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230016,配方-原木,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230017,配方-灵木,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230018,配方-木料,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230019,配方-碎石,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230020,配方-玉石,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230021,配方-石块,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230022,配方-玉石块,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230023,配方-星纹钢,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230024,配方-十胜石,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230025,配方-七星石,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230026,配方-万青藤,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230027,配方-黑木,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230028,配方-雷灵晶,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230029,配方-五彩神石,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230030,配方-赤晶,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230031,配方-髓玉,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230032,配方-炼晶,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230033,配方-火熔晶,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230034,配方-水玉,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230035,配方-黄土晶,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230036,配方-赤木钢,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230037,配方-紫焰石,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230038,配方-金石,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230039,配方-五行玉,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230040,配方-黑晶神砂,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230041,配方-妖肉,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230042,配方-血精草,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230043,配方-土鸡蛋,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230044,配方-妖兽熟肉,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230045,配方-龙凤双腿,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230046,配方-八极鲜,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230047,配方-太玄果,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230048,配方-天心花,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230049,配方-七星草,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230050,配方-赤血灵果,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230051,配方-沙木根,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230052,配方-玉杏,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230053,配方-龙葵花,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230054,配方-朝夕露,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230055,配方-朱果,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230056,配方-葬沙骨,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230057,配方-赤血丹砂,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230058,配方-玉龙霜,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230059,配方-轮回草,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230060,配方-聚魂灵液,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230061,配方-阴灵水,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230062,配方-玄灵液,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230063,配方-三花玉露,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230064,配方-千叶露,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230065,配方-紫魂花,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230066,配方-天火液,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230067,配方-鬼哭藤,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230068,配方-玛瑙角,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230069,配方-九窍蕴仙散,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230070,配方-妖罗果,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230071,配方-星辰砂,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230072,配方-九幽冥泉水,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230073,配方-玄黄母气,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230074,配方-悟心珠,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230075,配方-混元石,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230076,配方-千草还魂丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230077,配方-黄纸,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230078,配方-朱砂,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230079,配方-灵田,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230080,配方-药田,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230081,配方-仙食坊,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230082,配方-极乐洞府,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230083,配方-纳戒,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230084,配方-须弥手镯,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230085,配方-炼丹炉,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230086,配方-锻造坊,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230087,配方-灵兽场,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230088,配方-晶石场,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230089,配方-登仙台,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230090,配方-梧桐院,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230091,配方-灵脉,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230092,配方-灵匣,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230093,配方-长生殿,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230094,配方-武魂殿,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230095,配方-凝气丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230096,配方-筑基丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230097,配方-化晶丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230098,配方-金元丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230099,配方-化灵丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230100,配方-结婴丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230101,配方-结神丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230102,配方-悟道丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230103,配方-羽化丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230104,配方-星龙丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230105,配方-太乙丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230106,配方-九阳圣转丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230107,配方-保济丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230108,配方-正气丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230109,配方-龙力丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230110,配方-纯阳赤血丹,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230111,配方-还魂,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230112,配方-破界符,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230113,配方-驯兽符,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230114,配方-御雷符,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230115,配方-寒晶刃,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230116,配方-银辉剑,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230117,配方-生花笔,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230118,配方-朱雀环,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230119,配方-青凝镜,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230120,配方-飞虹剑,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230121,配方-盘龙刀,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230122,配方-磐龙破魔枪,1,,2,0,,,32,,9900002,1-1,,,,,,,
1230123,配方-轩辕剑,1,,2,0,,,32,,9900002,1-1,,,,,,,
